Time resolution is 1 ps
[20000 ns] after reset state ---> LOCKED (expected LOCKED)
[25000 ns] digit_clean state ----> xxxx
[686000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[696000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[706000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[716000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[726000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[736000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[746000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[756000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[766000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[776000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[786000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[796000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[806000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[816000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[826000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[836000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[846000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[856000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[866000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[876000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[886000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[896000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[906000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[916000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[926000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[936000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[946000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[956000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[966000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[976000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[986000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[996000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1006000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1016000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1026000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1036000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1046000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1056000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1066000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1076000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
